commodity_code,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,WTO-AGP,CETA,CPTPP,Type
JI7220A,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI7230,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI7310,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI7510,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI9330,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI9905,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,Services
JI9930,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,Services
JX1005,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1005A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1015,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1025,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1035,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1055,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1095,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1220,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1230,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1240,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1250,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1265,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1285,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1305,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1340,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1355,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1377,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1410,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1420,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1425,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1427,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1430,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1450,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Services
JX1510,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1510A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1510C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1510D,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1520,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1520A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1520B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1540,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1560,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1610,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1615,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1620,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1630,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1650,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1660,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1680,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1680A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1680B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1680C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1710,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1720,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1730,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1740,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1910,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1920,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1925,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1930,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1940,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1940AA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1940C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1945,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1950,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1955,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990A,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990B,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990C,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990D,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990DA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990E,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990F,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990G,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990H,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990HA,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990HB,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990I,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990J,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990K,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990L,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990M,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990N,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990P,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990R,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990S,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990T,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
JX1990U,NO*,NO*,NO*,NO*,NO*,NO*,NO,NO,NO,YES,Services
